track_name,track_id,track_duration,track_popularity,track_explicit,album_name,album_id,album_release_date,album_release_date_precision,album_total_tracks,album_type,artist_name,artist_id,played_at
"Holland, 1945",64DpBZj4IlDFzCwxTq7azl,192533,57,False,In the Aeroplane Over the Sea,0vVekV45lOaVKs6RZQQNob,1998-02-20,day,11,album,Neutral Milk Hotel,2ooIqOf4X2uz4mMptXCtie,2023-03-13T17:01:16.144Z
I Shall Love 2,4X2wda3nI8SwBzGyaKMNUs,318546,8,False,I Shall Love 2,1yoHqeWeT6oSHiIyzHsE7V,2018-09-06,day,2,single,Julia Holter,0bsV0sUjnCuCTYOnNHQl3E,2023-03-13T17:06:35.012Z
Little Birds - Live [2014],337ozPp0qC9WVOtqeA6vW0,373975,38,False,Little Birds,6W06B6AqeuOXBAIKGqbGHT,2023-01-10,day,2,single,Neutral Milk Hotel,2ooIqOf4X2uz4mMptXCtie,2023-03-13T17:14:40.895Z
Some Summers They Drop Like Flys,1SRR4NhSAhvreSHKQBtplB,379693,18,False,"Whatever You Love, You Are",2UjPnsZmxzCOPVkGzPm7G4,2000-01-01,day,6,album,Dirty Three,1QUsHFoDqNsC0W9AlNyHWF,2023-03-13T17:26:24.803Z
Flume,0bhBtXHQX3u6dSAPF59qGx,219000,61,False,"For Emma, Forever Ago",7EJ0OT5ZqybXxcYRa6mccM,2008-02-19,day,9,album,Bon Iver,4LEiUm1SRbFMgfqnQTwUbQ,2023-03-13T17:34:12.804Z
Pagan Poetry - Video Edit,6oZfKOEJT4kX4qr3gzGdUw,242733,7,False,Pagan Poetry 2,2usm2sWCEGKEmTyclCApJ7,2001-11-05,day,3,single,Björk,7w29UYBi0qsHi5RTcv3lmA,2023-03-13T17:38:14.834Z
All I Think About Now,3NfqN997u9A3YAAafgzhIa,187320,65,False,Head Carrier,5F9YYEKDxenkRpyuovdqZe,2016-09-30,day,12,album,Pixies,6zvul52xwTWzilBZl6BUbT,2023-03-13T17:43:41.507Z
Heptapod B,0wvldPbWwuellRqCfzL4eu,222084,39,False,Arrival (Original Motion Picture Soundtrack),3GDfBsNm22NeGSP2vQDWnO,2016-11-11,day,20,album,Jóhann Jóhannsson,3IpQziA6YwD53PQ5xbwgLF,2023-03-13T17:47:24.537Z
Armstrong Cabin,0UJEym12sdx3m5UlY2HYfp,75706,61,False,First Man (Original Motion Picture Soundtrack),4NFpOHIv0hJa9of0IQsgKw,2018-10-12,day,37,album,Justin Hurwitz,2snm3HmsnDUDxbIChdl2Oj,2023-03-13T17:48:40.169Z
Map,2quALV4FWOVawNuf8SEHl1,300693,33,False,"The Glow, Pt. 2",6QYoRO2sXThCORAifrP4Bl,2001-09-11,day,20,album,The Microphones,7Ht57YadlBXcFJDK3plmhO,2023-03-13T17:54:53.636Z
Useless,5iKKfIJqyBXGUDre79dyeN,256070,17,False,Useless - Highway,71xa11ucgVWqithU8OSgp6,2014-09-22,day,7,album,Marie Madeleine,42Wmw8g4Cl9ZsxYR8prhSC,2023-03-13T17:59:10.787Z
I Want Wind to Blow,1bAZV1EBTRi9t1cVg75i8t,332880,47,False,"The Glow, Pt. 2",6QYoRO2sXThCORAifrP4Bl,2001-09-11,day,20,album,The Microphones,7Ht57YadlBXcFJDK3plmhO,2023-03-13T18:04:43.382Z
Flume,0bhBtXHQX3u6dSAPF59qGx,219000,61,False,"For Emma, Forever Ago",7EJ0OT5ZqybXxcYRa6mccM,2008-02-19,day,9,album,Bon Iver,4LEiUm1SRbFMgfqnQTwUbQ,2023-03-13T18:08:23.041Z
Rapp Snitch Knishes feat. Mr. Fantastik,5KUNwkaNf8l5A9sXZhiCgI,172893,74,True,MM...FOOD,1UcS2nqUhxrZjrBZ3tHk2N,2004-11-16,day,15,album,MF DOOM,2pAWfrd7WFF3XhVt9GooDL,2023-03-13T18:19:32.392Z
Death with Dignity,73uJybGAhwGRD9MZYrOmTY,239508,62,False,Carrie & Lowell,64xtjfsPHNHch0CZ7fPTjS,2015-03-31,day,11,album,Sufjan Stevens,4MXUO7sVCaFgFjoTI5ox5c,2023-03-13T18:23:32.906Z
All Caps,21O0XXPEWPtePt5RMY93Ob,130479,69,True,Madvillainy,19bQiwEKhXUBJWY6oV3KZk,2004-03-24,day,22,album,Madvillain,2aoFQUeHD1U7pL098lRsDU,2023-03-13T18:27:38.577Z
Where I Found You (One Star),1o3amYz7RPk7OpVLbarVcQ,187143,55,False,Ceres & Calypso in the Deep Time,5KkGAZrad4N4rc5FriwgzU,2013-06-25,day,12,album,Candy Claws,34Xay0uKsALHCrn5LkrYeh,2023-03-13T18:30:33.656Z
Pasoori,7lvDsmTRXFE3dK4OjvRiWB,224146,76,False,Pasoori,7wgrW5XyZdtk0K8PkW5A7h,2022-02-07,day,1,single,Shae Gill,3bWIy9AUrQdiNeS62Bp3OP,2023-03-13T18:34:17.125Z
"Concerning the UFO sighting near Highland, Illinois",2BjRhZ2IJmsO1GRquNldsP,128985,50,False,Illinois,1pOl0KEC1iQnA6F0XxV4To,2005-07-05,day,22,album,Sufjan Stevens,4MXUO7sVCaFgFjoTI5ox5c,2023-03-13T18:37:59.879Z
"The Black Hawk War, Or, How to Demolish an Entire Civilization and Still Feel Good About Yourself In the Morning, Or, We Apologize for the Inconvenience But You're Going to Have to Leave Now, Or...",4LyO99BhEMAyVGe4J5genE,134786,38,False,Illinois,1pOl0KEC1iQnA6F0XxV4To,2005-07-05,day,22,album,Sufjan Stevens,4MXUO7sVCaFgFjoTI5ox5c,2023-03-13T18:41:38.223Z
Come On! Feel the Illinoise! Part I: The World's Columbian Exposition Part II: Carl Sandburg Visits Me In A Dream,3vbxQpZdIXJ3oALBd8OyQ6,405626,44,False,Illinois,1pOl0KEC1iQnA6F0XxV4To,2005-07-05,day,22,album,Sufjan Stevens,4MXUO7sVCaFgFjoTI5ox5c,2023-03-13T18:48:24.735Z
"John Wayne Gacy, Jr.",2R3g9k14OAcUzZYwo90Tx6,199920,48,False,Illinois,1pOl0KEC1iQnA6F0XxV4To,2005-07-05,day,22,album,Sufjan Stevens,4MXUO7sVCaFgFjoTI5ox5c,2023-03-13T18:51:44.525Z
Jacksonville,7iYaPj3pAQ3UJrSmYZChYY,324720,42,False,Illinois,1pOl0KEC1iQnA6F0XxV4To,2005-07-05,day,22,album,Sufjan Stevens,4MXUO7sVCaFgFjoTI5ox5c,2023-03-13T18:57:08.911Z
"A short reprise for Mary Todd, who went insane, but for very good reasons",6hfxGStZ4L3IBvRaCqmPQc,47640,37,False,Illinois,1pOl0KEC1iQnA6F0XxV4To,2005-07-05,day,22,album,Sufjan Stevens,4MXUO7sVCaFgFjoTI5ox5c,2023-03-13T18:57:56.394Z
"Decatur, or, Round of Applause for Your Step-Mother!",5PrrtlnYNokmpECpZtQhVO,183906,40,False,Illinois,1pOl0KEC1iQnA6F0XxV4To,2005-07-05,day,22,album,Sufjan Stevens,4MXUO7sVCaFgFjoTI5ox5c,2023-03-13T19:01:00.505Z
"One last ""Whoo-hoo!"" for the Pullman",5bve8lKmi1CafK0olcfU0l,6466,0,False,Illinois,1pOl0KEC1iQnA6F0XxV4To,2005-07-05,day,22,album,Sufjan Stevens,4MXUO7sVCaFgFjoTI5ox5c,2023-03-13T19:01:07.178Z
Chicago,1yupbrI7ROhigIHpQBevPh,364613,58,False,Illinois,1pOl0KEC1iQnA6F0XxV4To,2005-07-05,day,22,album,Sufjan Stevens,4MXUO7sVCaFgFjoTI5ox5c,2023-03-13T19:07:11.811Z
"To The Workers of The Rock River Valley Region, I have an idea concerning your predicament, and it involves an inner tube, bath mats, and 21 able-bodied men",4nHnXZfr4IdxYgmYkH8ivZ,100760,36,False,Illinois,1pOl0KEC1iQnA6F0XxV4To,2005-07-05,day,22,album,Sufjan Stevens,4MXUO7sVCaFgFjoTI5ox5c,2023-03-13T19:13:15.141Z
The Man of Metropolis Steals Our Hearts,0kyZp51e1snCfUtDJlXVhq,377013,37,False,Illinois,1pOl0KEC1iQnA6F0XxV4To,2005-07-05,day,22,album,Sufjan Stevens,4MXUO7sVCaFgFjoTI5ox5c,2023-03-13T19:50:44.936Z
Prairie Fire That Wanders About,6VwLJAvYv7oUVKMAvC46sH,131373,34,False,Illinois,1pOl0KEC1iQnA6F0XxV4To,2005-07-05,day,22,album,Sufjan Stevens,4MXUO7sVCaFgFjoTI5ox5c,2023-03-13T19:54:00.410Z
A conjunction of drones simulating the way in which Sufjan Stevens has an existential crisis in the Great Godfrey Maze,4a82CKrAXdeHFJPTwEuEm8,19653,1,False,Illinois,1pOl0KEC1iQnA6F0XxV4To,2005-07-05,day,22,album,Sufjan Stevens,4MXUO7sVCaFgFjoTI5ox5c,2023-03-13T19:54:19.241Z
The Predatory Wasp of the Palisades Is Out to Get Us!,4wFBbeR03fah9nwy0isyO8,323013,47,False,Illinois,1pOl0KEC1iQnA6F0XxV4To,2005-07-05,day,22,album,Sufjan Stevens,4MXUO7sVCaFgFjoTI5ox5c,2023-03-13T19:59:42.582Z
They Are Night Zombies!! They Are Neighbors!! They Have Come Back From the Dead!! Ahhhh!,6pvwYMVs13EJ8jj4LMX0aV,309786,40,False,Illinois,1pOl0KEC1iQnA6F0XxV4To,2005-07-05,day,22,album,Sufjan Stevens,4MXUO7sVCaFgFjoTI5ox5c,2023-03-13T20:04:52.380Z
"Let's hear that string part again, because I don't think they heard it all the way out in Bushnell",6dZms5gdDcCFvfuBzGPRDH,40373,38,False,Illinois,1pOl0KEC1iQnA6F0XxV4To,2005-07-05,day,22,album,Sufjan Stevens,4MXUO7sVCaFgFjoTI5ox5c,2023-03-13T20:05:33.176Z
In This Temple As in The Hearts of Man For Whom He Saved The Earth,4AXlxpofniQO0rJrXuc3U5,35386,35,False,Illinois,1pOl0KEC1iQnA6F0XxV4To,2005-07-05,day,22,album,Sufjan Stevens,4MXUO7sVCaFgFjoTI5ox5c,2023-03-13T20:06:07.962Z
The Seer's Tower,4tcxg3xWf4y0V6mTt1VSFo,233986,35,False,Illinois,1pOl0KEC1iQnA6F0XxV4To,2005-07-05,day,22,album,Sufjan Stevens,4MXUO7sVCaFgFjoTI5ox5c,2023-03-13T20:10:01.748Z
"The Tallest Man, the Broadest Shoulders Part I: The Great Frontier Part II: Come to Me Only With Playthings Now",5LLa7Xb6xfRVpRXgjyevvM,422986,34,False,Illinois,1pOl0KEC1iQnA6F0XxV4To,2005-07-05,day,22,album,Sufjan Stevens,4MXUO7sVCaFgFjoTI5ox5c,2023-03-13T20:17:05.780Z
